"0","d1 %>% "
"0","  filter(tic == ""META"") %>% "
"0","  hchart(""column"" ,hcaes(x = fyear, y = oibdp)) %>% "
"0","  hc_tooltip("
"0","    headerFormat = ""<b>Fiscal Year: {point.key}</b> <br>"","
"0","    pointFormat = ""<b>Operating Profit: {point.y}</b>"") %>% "
"0","  hc_xAxis(title = list(text = ""Fiscal Year"","
"0","                        style = list(color = ""#000000"", fontWeight = ""bold""))) %>% "
"0","  hc_yAxis(title = list(text = ""Operating Income in Million USD"","
"0","                        style = list(color = ""#000000"", fontWeight = ""bold""))) %>% "
"0","  hc_add_theme(hc_theme_ft())"
