"0","# Filter DataFrame to include only SUV & Truck "
"0","suv_truck_types <- c(""SUV"", ""Truck"")"
"0","cars3 = filter(cars2, Type %in% suv_truck_types)"
"0",""
"0","# Perform the Wilcoxon rank-sum test"
"0","wilcox.test(Horsepower~Type, data = cars3, exact=FALSE)"
"1","
"
"1","	Wilcoxon rank sum test with continuity correction"
"1","
"
"1","
"
"1","data:  "
"1",""
"1","Horsepower by Type"
"1",""
"1","
"
"1","W = 806.5, p-value = 0.3942"
"1","
"
"1","alternative hypothesis: "
"1","true "
"1",""
"1","location shift"
"1",""
"1"," is "
"1",""
"1","not equal to"
"1",""
"1"," "
"1",""
"1","0"
"1",""
"1","
"
"1","
"
