"0","var.test(Wind ~ Month, data=aug_july_df, alternative=""two.sided"")"
"1","
"
"1","	F test to compare two variances"
"1","
"
"1","
"
"1","data:  "
"1",""
"1","Wind by Month"
"1",""
"1","
"
"1","F = 0.8857, num df = 30, denom df = 30, p-value = 0.7418"
"1","
"
"1","alternative hypothesis: "
"1","true "
"1",""
"1","ratio of variances"
"1",""
"1"," is "
"1",""
"1","not equal to"
"1",""
"1"," "
"1",""
"1","1"
"1",""
"1","
"
"1","95"
"1",""
"1"," percent confidence interval:
"
"1",""
"1"," "
"1",""
"1","0.4270624 1.8368992"
"1",""
"1","
"
"1","sample estimates:
"
"1","ratio of variances "
"1","
"
"1","         0.8857035 "
"1","
"
"1","
"
