1,1,0,0,460,14,48,0,0,2,0,1,0,1,86,0,28
2,0,1,0,440,7,44,0,0,2,0,1,0,1,86,0,28
3,0,0,1,130,7,61,0,0,2,0,1,0,1,86,0,28
1,1,0,0,595,13,59,1,0,2,1,1,0,2,85,0,27
2,0,1,0,515,13,70,1,0,2,1,1,0,2,85,0,27
3,0,0,1,340,12,87,1,0,2,1,1,0,2,85,0,27
1,1,0,0,985,13,59,1,0,3,1,1,0,2,71,1,14
2,0,1,0,540,13,70,1,0,3,1,1,0,2,71,1,14
3,0,0,1,305,12,87,1,0,3,1,1,0,2,71,1,14
1,1,0,0,625,14,48,1,0,2,0,1,0,2,85,1,24
2,0,1,0,350,7,44,1,0,2,0,1,0,2,85,1,24
3,0,0,1,200,7,61,1,0,2,0,1,0,2,85,1,24
1,1,0,0,880,23,85,1,0,3,0,1,0,2,85,0,25
2,0,1,0,805,10,67,1,0,3,0,1,0,2,85,0,25
3,0,0,1,340,5,71,1,0,3,0,1,0,2,85,0,25
1,1,0,0,880,23,85,1,0,3,1,1,0,3,82,0,23
2,0,1,0,805,10,67,1,0,3,1,1,0,3,82,0,23
3,0,0,1,340,5,71,1,0,3,1,1,0,3,82,0,23
1,1,0,0,460,13,59,1,0,3,0,1,0,1,86,1,25
2,0,1,0,440,13,70,1,0,3,0,1,0,1,86,1,25
3,0,0,1,130,12,87,1,0,3,0,1,0,1,86,1,25
1,1,0,0,520,14,48,1,0,2,1,1,0,1,80,1,19
2,0,1,0,385,7,44,1,0,2,1,1,0,1,80,1,19
3,0,0,1,120,7,61,1,0,2,1,1,0,1,80,1,19
1,1,0,0,880,14,48,1,0,2,1,1,0,2,79,0,24
2,0,1,0,805,7,44,1,0,2,1,1,0,2,79,0,24
3,0,0,1,340,7,61,1,0,2,1,1,0,2,79,0,24
1,1,0,0,600,17,45,1,0,3,0,1,0,5,84,0,26
2,0,1,0,430,8,50,1,0,3,0,1,0,5,84,0,26
3,0,0,1,130,8,67,1,0,3,0,1,0,5,84,0,26
1,1,0,0,985,14,48,1,0,5,1,0,2,5,85,1,16
2,0,1,0,540,7,44,1,0,5,1,0,2,5,85,1,16
3,0,0,1,305,7,61,1,0,5,1,0,2,5,85,1,16
1,1,0,0,635,14,48,1,1,1,0,0,0,1,78,1,14
2,0,1,0,375,7,44,1,1,1,0,0,0,1,78,1,14
3,0,0,1,120,7,61,1,1,1,0,0,0,1,78,1,14
1,1,0,0,555,13,43,1,0,3,0,1,1,2,82,0,20
2,0,1,0,445,7,43,1,0,3,0,1,1,2,82,0,20
3,0,0,1,310,6,57,1,0,3,0,1,1,2,82,0,20
1,1,0,0,660,16,41,0,0,3,0,0,0,1,85,1,23
2,0,1,0,670,8,49,0,0,3,0,0,0,1,85,1,23
3,0,0,1,385,7,62,0,0,3,0,0,0,1,85,1,23
1,1,0,0,615,13,43,1,0,2,1,1,0,3,83,0,23
2,0,1,0,375,7,43,1,0,2,1,1,0,3,83,0,23
